,city,district,street_name,rooms,size_m2,price_per_m2,price
734,Warszawa, Ursus, ul. Orląt Lwowskich 22,2,39.0,10769,420000.0
735,Warszawa, Mokotów, ul. Jana Pawła Woronicza,4,109.1,16000,1745600.0
736,Warszawa, Bielany, Marii Dąbrowskiej 3,3,54.0,11463,619000.0
737,Warszawa, Mokotów, Dolny Mokotów,2,48.9,15481,757000.0
738,Warszawa, Mokotów,,2,35.11,14953,525000.0
739,Warszawa, Mokotów, Jana Maklakiewicza,3,49.0,13449,659000.0
740,Warszawa, Bemowo, Chrzanów,3,50.0,14600,730000.0
741,Warszawa, Włochy, Stare Włochy,3,75.0,10653,799000.0
742,Warszawa, Bielany, Literacka 4,3,48.0,13125,630000.0
744,Warszawa, Mokotów,,3,86.0,20105,1729000.0
745,Warszawa, Ochota,,3,56.6,16784,950000.0
746,Warszawa, Praga-Północ,,3,81.0,17284,1400000.0
747,Warszawa, Wilanów, ul. Syta,3,70.03,13994,980000.0
748,Warszawa, Praga-Południe, ul. Motorowa,4,86.0,14884,1280000.0
749,Warszawa, Mokotów,,3,70.14,20000,1402800.0
750,Warszawa, Mokotów, Górny Mokotów,3,55.1,12341,680000.0
751,Warszawa, Białołęka, Kobiałka,2,43.0,11605,499000.0
752,Warszawa, Śródmieście, ul. Dzielna,2,64.05,13973,895000.0
753,Warszawa, Wola, ul. Wolska 64,3,60.0,11650,699000.0
754,Warszawa, Praga-Południe, Saska Kępa,2,52.0,12500,650000.0
755,Warszawa, Praga-Południe, Gocław,3,61.36,13038,800000.0
756,Warszawa, Bemowo,,4,85.0,11059,940000.0
757,Warszawa, Mokotów, ul. Stefana Batorego,2,37.9,15805,599000.0
758,Warszawa, Bielany, Marii Dąbrowskiej 17,3,56.8,11356,645000.0
